timestamp,UP
1318882,39612
1319382,39614
1319882,39612
1320382,39615
1320882,39614
1321382,39615
1321882,39616
1322382,39612
1322882,39615
1323382,39613
1323882,39613
1324382,39614
1324882,39612
1325382,39612
1325882,39612
1326382,39614
1326882,39612
1327382,39610
1327882,39613
1328382,39612
1328882,39611
1329382,39613
1329882,39612
1330382,39610
1330882,39611
1331382,39612
1331883,39611
1332382,39613
1332882,39610
1333382,39610
1333882,39610
1334382,39610
1334882,39612
1335382,39611
1335882,39611
1336382,39612
1336882,39610
1337382,39610
1337882,39608
1338382,39611
1338882,39611
1339382,39612
1339882,39611
1340382,39610
1340882,39608
1341382,39611
1341882,39610
1342382,39610
1342882,39610
1343382,39608
1343882,39609
1344382,39610
1344882,39612
1345382,39610
1345882,39609
1346382,39608
1346882,39608
1347382,39611
1347883,39610
1348382,39609
1348882,39612
1349382,39607
1349882,39608
1350382,39607
1350882,39608
1351382,39607
1351882,39609
1352382,39609
1352882,39608
1353382,39608
1353882,39606
1354382,39610
1354882,39610
1355382,39606
1355882,39610
1356382,39610
1356882,39607
1357382,39607
1357882,39607
1358382,39608
1358882,39610
1359382,39607
1359882,39605
1360382,39607
1360882,39606
1361382,39609
1361882,39609
1362382,39606
1362882,39608
1363382,39609
1363883,39610
1364382,39607
1364882,39608
1365382,39607
1365882,39606
1366382,39606
1366882,39608
1367382,39606
1367882,39606
1368382,39606
1368882,39607
1369382,39607
1369882,39607
1370382,39608
1370882,39605
1371382,39607
1371882,39608
1372382,39604
1372882,39606
1373382,39606
1373882,39606
1374382,39607
1374882,39603
1375382,39605
1375882,39606
1376382,39603
1376882,39604
1377382,39606
1377882,39608
1378382,39604
1378882,39602
1379382,39604
1379883,39602
1380382,39604
1380882,39605
1381382,39605
1381882,39604
1382382,39605
1382882,39603
1383382,39603
1383882,39605
1384382,39605
1384882,39606
1385382,39604
1385882,39607
1386382,39607
1386882,39606
1387382,39607
1387882,39604
1388382,39604
1388882,39604
1389382,39603
1389882,39605
1390382,39603
1390882,39607
1391382,39603
1391882,39606
1392382,39605
1392882,39604
1393382,39602
1393882,39604
1394382,39604
1394882,39602
1395382,39604
1395883,39602
1396382,39605
1396882,39606
1397382,39601
1397882,39603
1398382,39604
1398882,39601
1399382,39604
1399882,39603
1400382,39604
1400882,39605
1401382,39605
1401882,39605
1402382,39608
1402882,39609
1403382,39608
1403882,39610
1404382,39609
1404882,39608
1405382,39610
1405882,39612
1406382,39613
1406882,39614
1407382,39615
1407882,39612
1408382,39614
1408882,39610
1409382,39614
1409882,39615
1410382,39614
1410882,39614
1411382,39615
1411883,39614
1412382,39614
1412882,39616
1413382,39614
1413882,39612
1414382,39615
1414882,39612
1415382,39614
1415882,39613
1416382,39613
1416882,39615
1417382,39614
1417882,39614
1418382,39615
1418882,39613
1419382,39614
1419882,39616
1420382,39615
1420882,39614
1421382,39615
1421882,39612
1422382,39613
1422882,39613
1423382,39616
1423882,39616
1424382,39616
1424882,39615
1425382,39614
1425882,39614
1426382,39614
1426882,39615
1427382,39613
1427883,39614
1428382,39614
1428882,39614
1429382,39613
1429882,39613
1430382,39614
1430882,39614
1431382,39612
1431882,39612
1432382,39614
1432882,39613
1433382,39612
1433882,39612
1434382,39613
1434882,39614
1435382,39612
1435882,39613
1436382,39612
1436882,39613
1437382,39609
1437882,39610
1438382,39614
1438882,39608
1439382,39610
1439882,39608
1440382,39610
1440882,39612
1441382,39608
1441882,39607
1442382,39612
1442882,39612
1443382,39608
1443883,39609
1444382,39611
1444882,39608
1445382,39609
1445882,39608
1446382,39607
1446882,39607
1447382,39612
1447882,39606
1448382,39606
1448882,39608
1449382,39610
1449882,39608
1450382,39608
1450882,39607
1451382,39607
1451882,39607
1452382,39610
1452882,39609
1453382,39608
1453882,39607
1454382,39607
1454882,39606
1455382,39606
1455882,39606
1456382,39606
1456882,39608
1457382,39607
1457882,39606
1458382,39608
1458882,39608
1459382,39605
1459883,39605
1460382,39608
1460882,39604
1461382,39606
1461882,39605
1462382,39607
1462882,39604
1463382,39607
1463882,39607
1464382,39605
1464882,39605
1465382,39603
1465882,39604
1466382,39605
1466882,39605
1467382,39604
1467882,39604
1468382,39604
